KennzahlCode
AAS
ABE
ABF
ABL
ABP
ABS
ABW
ADA
AET
AEW
ALQ
APZ
ASL
AST
ASW
ATZ
AUA
AUF
AUL
AUZ
AVA
AVE
AVZ
BEP
BES
BET
BEW
BGF
BIP
BLU
BRU
CHV
COE
DGV
DKV
DOK
DWH
EGP
ENG
ENM
ENP
EWL
EWP
EWQ
EWT
EZG
FAU
FRA
FST
FWH
GBD
GBF
GBR
GEF
GSF
GST
GVK
GVV
GWF
HBR
HGT
HHA
HLA
HOL
HOP
HYD
KAN
KGP
KLS
KON
KUB
KUN
KUR
KVV
LEI
LEM
LES
LET
LIE
LKW
LNB
LNF
LST
MAM
MAN
MAT
MBL
MED
MVK
MVV
NAF
NAL
NAM
NEP
NRP
NRW
OBF
OKL
OST
PFA
PFI
PHW
PLA
PLB
PLE
POL
PPH
PUB
QMP
REC
REQ
RVS
SAE
SAF
SCH
SCK
SCS
SDE
SHA
SOA
SON
SPK
STF
STN
STO
STS
THG
TIA
TII
TNU
TXA
UGR
UHA
VER
VOA
VOK
VOL
VZA
WAZ
WFP
WHA
WHF
WHG
WRB
WRT
WSS
WST
WUS
ZIM
ZUS
ZUT
ZUV
MOT
PAR
UNF
PUN
LIL
LIF
FAG
VST
FLE
ENL
FLB
FRT
FLK
EIS
LON
ANK
ANA
BTT
BTB
ZIB
AUD
UNT
ZIN
WPP
IND
DVK
EST
ANR
SHF
SHB
SHQ
BRT
BRS
BAT
BAP
BSC
KND
REN
ZLF
BBP
ZSG
BRP
MAA
CHA
ANT
INF
AVO
ANW
ANV
LWZ
LFZ
LFL
GDS
SPF
STE
STV
SER
SJE
SJK
ESS
AUS
STI
ABG
STB
STA
SIT
APA
AWA
AWZ
PST
PPS
EHE
SCE
GEB
GBU
FER
PAS
BEH
AEH
EHS
GES
SNB
BEN
AWB
AWW
WEZ
ZUZ
UMZ
SWB
SUB
WEF
ZUF
UMF
SWF
SUF
UZU
UWE
UFZ
UFW
BRW
SAB
MBE
DWR
LTP
REM
TRP
SCM
WGS
SSD
BLZ
TAG
WTP
STD
WES
STK
NVS
STG
NFP
WPF
AGT
AUM
APL
LAE
VFE
VFS
AZB
AUP
GEP
LOU
SFG
SKR
ZIW
ZIK
KMP
BVT
GIP
VAJ
VAM
VAS
VAQ
VAX
KMB
GYQ
PEQ
BEI
STT
SSA
STP
MPI
SPR
WAE
WAP
